--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599504185303|		|1599504186902|			    |	1599      |
|2		     |		|1599504231587|		|1599504232852|			    |	1265      |
|3		     |		|1599504277911|		|1599504278981|			    |	1070      |
|4		     |		|1599504324214|		|1599504325271|			    |	1057      |
|5		     |		|1599504370617|		|1599504371619|			    |	1002      |
|6		     |		|1599504416867|		|1599504417723|			    |	856      |
|7		     |		|1599504463201|		|1599504464902|			    |	1701      |
|8		     |		|1599504509528|		|1599504510402|			    |	874      |
|9		     |		|1599504554764|		|1599504555732|			    |	968      |
|10		     |		|1599504601929|		|1599504603603|			    |	1674      |
|11		     |		|1599504649251|		|1599504650411|			    |	1160      |
|12		     |		|1599504696276|		|1599504696907|			    |	631      |
|13		     |		|1599504742520|		|1599504743661|			    |	1141      |
|14		     |		|1599504788732|		|1599504789905|			    |	1173      |
|15		     |		|1599504834870|		|1599504835713|			    |	843      |
|16		     |		|1599504880734|		|1599504881947|			    |	1213      |
|17		     |		|1599504926717|		|1599504927852|			    |	1135      |
|18		     |		|1599504973711|		|1599504974615|			    |	904      |
|19		     |		|1599505020841|		|1599505021730|			    |	889      |
|20		     |		|1599505067950|		|1599505068929|			    |	979      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     22.134
