--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599543005150|		|1599543006235|			    |	1085      |
|2		     |		|1599543055485|		|1599543056439|			    |	954      |
|3		     |		|1599543105795|		|1599543106617|			    |	822      |
|4		     |		|1599543156053|		|1599543157251|			    |	1198      |
|5		     |		|1599543206302|		|1599543207543|			    |	1241      |
|6		     |		|1599543256606|		|1599543257604|			    |	998      |
|7		     |		|1599543306975|		|1599543308046|			    |	1071      |
|8		     |		|1599543357298|		|1599543358178|			    |	880      |
|9		     |		|1599543407591|		|1599543408758|			    |	1167      |
|10		     |		|1599543457918|		|1599543458784|			    |	866      |
|11		     |		|1599543508222|		|1599543509335|			    |	1113      |
|12		     |		|1599543558530|		|1599543559687|			    |	1157      |
|13		     |		|1599543608832|		|1599543610081|			    |	1249      |
|14		     |		|1599543658125|		|1599543659444|			    |	1319      |
|15		     |		|1599543708102|		|1599543709063|			    |	961      |
|16		     |		|1599543759526|		|1599543760503|			    |	977      |
|17		     |		|1599543809684|		|1599543810539|			    |	855      |
|18		     |		|1599543860956|		|1599543862326|			    |	1370      |
|19		     |		|1599543911910|		|1599543913173|			    |	1263      |
|20		     |		|1599543962597|		|1599543963532|			    |	935      |
|21		     |		|1599544013581|		|1599544014864|			    |	1283      |
|22		     |		|1599544064571|		|1599544065521|			    |	950      |
|23		     |		|1599544115745|		|1599544117345|			    |	1600      |
|24		     |		|1599544165798|		|1599544166758|			    |	960      |
|25		     |		|1599544216032|		|1599544217141|			    |	1109      |
|26		     |		|1599544267233|		|1599544268729|			    |	1496      |
|27		     |		|1599544317547|		|1599544319001|			    |	1454      |
|28		     |		|1599544368859|		|1599544369693|			    |	834      |
|29		     |		|1599544419735|		|1599544420922|			    |	1187      |
|30		     |		|1599544470758|		|1599544472001|			    |	1243      |
|31		     |		|1599544521590|		|1599544522379|			    |	789      |
|32		     |		|1599544573138|		|1599544574243|			    |	1105      |
|33		     |		|1599544624510|		|1599544625609|			    |	1099      |
|34		     |		|1599544674102|		|1599544675235|			    |	1133      |
|35		     |		|1599544725562|		|1599544726447|			    |	885      |
|36		     |		|1599544776574|		|1599544777754|			    |	1180      |
|37		     |		|1599544826713|		|1599544827972|			    |	1259      |
|38		     |		|1599544877687|		|1599544878893|			    |	1206      |
|39		     |		|1599544927850|		|1599544928411|			    |	561      |
|40		     |		|1599544978288|		|1599544979413|			    |	1125      |
|41		     |		|1599545029381|		|1599545030520|			    |	1139      |
|42		     |		|1599545080418|		|1599545081369|			    |	951      |
|43		     |		|1599545130605|		|1599545131649|			    |	1044      |
|44		     |		|1599545180599|		|1599545181871|			    |	1272      |
|45		     |		|1599545231904|		|1599545232930|			    |	1026      |
|46		     |		|1599545283129|		|1599545284005|			    |	876      |
|47		     |		|1599545334104|		|1599545335698|			    |	1594      |
|48		     |		|1599545385709|		|1599545386477|			    |	768      |
|49		     |		|1599545436845|		|1599545438000|			    |	1155      |
|50		     |		|1599545487871|		|1599545488768|			    |	897      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     54.661
