--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599493825374|		|1599493826648|			    |	1274      |
|2		     |		|1599493845683|		|1599493847005|			    |	1322      |
|3		     |		|1599493866072|		|1599493867917|			    |	1845      |
|4		     |		|1599493886529|		|1599493887824|			    |	1295      |
|5		     |		|1599493905821|		|1599493906971|			    |	1150      |
|6		     |		|1599493927089|		|1599493928009|			    |	920      |
|7		     |		|1599493948000|		|1599493949158|			    |	1158      |
|8		     |		|1599493967955|		|1599493969213|			    |	1258      |
|9		     |		|1599493989581|		|1599493990739|			    |	1158      |
|10		     |		|1599494010743|		|1599494011775|			    |	1032      |
|11		     |		|1599494032022|		|1599494033323|			    |	1301      |
|12		     |		|1599494052473|		|1599494053328|			    |	855      |
|13		     |		|1599494072566|		|1599494073594|			    |	1028      |
|14		     |		|1599494093827|		|1599494095029|			    |	1202      |
|15		     |		|1599494115014|		|1599494116031|			    |	1017      |
|16		     |		|1599494136210|		|1599494137108|			    |	898      |
|17		     |		|1599494157390|		|1599494158259|			    |	869      |
|18		     |		|1599494178666|		|1599494179727|			    |	1061      |
|19		     |		|1599494199890|		|1599494201005|			    |	1115      |
|20		     |		|1599494221220|		|1599494222358|			    |	1138      |
|21		     |		|1599494241362|		|1599494242437|			    |	1075      |
|22		     |		|1599494262666|		|1599494263861|			    |	1195      |
|23		     |		|1599494283986|		|1599494284962|			    |	976      |
|24		     |		|1599494305263|		|1599494306389|			    |	1126      |
|25		     |		|1599494326541|		|1599494327913|			    |	1372      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     28.64
