--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599481817613|		|1599481820620|			    |	3007      |
|2		     |		|1599481837937|		|1599481839770|			    |	1833      |
|3		     |		|1599481858308|		|1599481859725|			    |	1417      |
|4		     |		|1599481878702|		|1599481879777|			    |	1075      |
|5		     |		|1599481899098|		|1599481901110|			    |	2012      |
|6		     |		|1599481919513|		|1599481920443|			    |	930      |
|7		     |		|1599481938868|		|1599481939899|			    |	1031      |
|8		     |		|1599481959428|		|1599481960496|			    |	1068      |
|9		     |		|1599481980696|		|1599481981944|			    |	1248      |
|10		     |		|1599482001195|		|1599482002372|			    |	1177      |
|11		     |		|1599482022100|		|1599482023412|			    |	1312      |
|12		     |		|1599482043041|		|1599482044118|			    |	1077      |
|13		     |		|1599482063405|		|1599482064531|			    |	1126      |
|14		     |		|1599482084846|		|1599482086182|			    |	1336      |
|15		     |		|1599482106637|		|1599482107724|			    |	1087      |
|16		     |		|1599482127855|		|1599482129362|			    |	1507      |
|17		     |		|1599482148850|		|1599482149905|			    |	1055      |
|18		     |		|1599482169205|		|1599482170159|			    |	954      |
|19		     |		|1599482189269|		|1599482191088|			    |	1819      |
|20		     |		|1599482210634|		|1599482211594|			    |	960      |
|21		     |		|1599482221254|		|1599482222482|			    |	1228      |
|22		     |		|1599482241658|		|1599482242782|			    |	1124      |
|23		     |		|1599482261991|		|1599482263244|			    |	1253      |
|24		     |		|1599482281418|		|1599482282453|			    |	1035      |
|25		     |		|1599482302986|		|1599482303954|			    |	968      |
|26		     |		|1599482324230|		|1599482325558|			    |	1328      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     33.967
