--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599482733850|		|1599482735679|			    |	1829      |
|2		     |		|1599482784574|		|1599482785965|			    |	1391      |
|3		     |		|1599482833254|		|1599482834628|			    |	1374      |
|4		     |		|1599482882698|		|1599482884258|			    |	1560      |
|5		     |		|1599482934123|		|1599482935414|			    |	1291      |
|6		     |		|1599482982859|		|1599482983803|			    |	944      |
|7		     |		|1599483033584|		|1599483034769|			    |	1185      |
|8		     |		|1599483084366|		|1599483085348|			    |	982      |
|9		     |		|1599483135178|		|1599483136055|			    |	877      |
|10		     |		|1599483185942|		|1599483186815|			    |	873      |
|11		     |		|1599483236650|		|1599483237983|			    |	1333      |
|12		     |		|1599483285371|		|1599483287235|			    |	1864      |
|13		     |		|1599483336357|		|1599483337278|			    |	921      |
|14		     |		|1599483387154|		|1599483388333|			    |	1179      |
|15		     |		|1599483437922|		|1599483438999|			    |	1077      |
|16		     |		|1599483488674|		|1599483490168|			    |	1494      |
|17		     |		|1599483539447|		|1599483540164|			    |	717      |
|18		     |		|1599483590190|		|1599483591532|			    |	1342      |
|19		     |		|1599483640990|		|1599483642367|			    |	1377      |
|20		     |		|1599483691798|		|1599483693121|			    |	1323      |
|21		     |		|1599483742676|		|1599483743443|			    |	767      |
|22		     |		|1599483793436|		|1599483794266|			    |	830      |
|23		     |		|1599483844142|		|1599483845112|			    |	970      |
|24		     |		|1599483894854|		|1599483895847|			    |	993      |
|25		     |		|1599483943594|		|1599483944758|			    |	1164      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     29.657
