--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599490838674|		|1599490840018|			    |	1344      |
|2		     |		|1599490900561|		|1599490901461|			    |	900      |
|3		     |		|1599490962387|		|1599490963461|			    |	1074      |
|4		     |		|1599491024187|		|1599491025184|			    |	997      |
|5		     |		|1599491086026|		|1599491087484|			    |	1458      |
|6		     |		|1599491147887|		|1599491149009|			    |	1122      |
|7		     |		|1599491209647|		|1599491210998|			    |	1351      |
|8		     |		|1599491270371|		|1599491271528|			    |	1157      |
|9		     |		|1599491333365|		|1599491334352|			    |	987      |
|10		     |		|1599491395861|		|1599491396708|			    |	847      |
|11		     |		|1599491458366|		|1599491459450|			    |	1084      |
|12		     |		|1599491521057|		|1599491522343|			    |	1286      |
|13		     |		|1599491583737|		|1599491584714|			    |	977      |
|14		     |		|1599491646234|		|1599491647540|			    |	1306      |
|15		     |		|1599491708934|		|1599491710049|			    |	1115      |
|16		     |		|1599491771666|		|1599491772593|			    |	927      |
|17		     |		|1599491834331|		|1599491835349|			    |	1018      |
|18		     |		|1599491896777|		|1599491898007|			    |	1230      |
|19		     |		|1599491959731|		|1599491960840|			    |	1109      |
|20		     |		|1599492022313|		|1599492023416|			    |	1103      |
|21		     |		|1599492084931|		|1599492086207|			    |	1276      |
|22		     |		|1599492146657|		|1599492147380|			    |	723      |
|23		     |		|1599492209243|		|1599492210276|			    |	1033      |
|24		     |		|1599492271887|		|1599492272756|			    |	869      |
|25		     |		|1599492334430|		|1599492335490|			    |	1060      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     27.353
