--------------------------------------------------------------------------------------------------------
|Block Number|		|  Start  Time|		|  End  Time  |				|Total  Time  |
----------------------------------------------------------------------------------------------------
|1		     |		|1599488218926|		|1599488220109|			    |	1183      |
|2		     |		|1599488270411|		|1599488271567|			    |	1156      |
|3		     |		|1599488321942|		|1599488323326|			    |	1384      |
|4		     |		|1599488373498|		|1599488374332|			    |	834      |
|5		     |		|1599488424990|		|1599488425911|			    |	921      |
|6		     |		|1599488476482|		|1599488477409|			    |	927      |
|7		     |		|1599488527922|		|1599488529014|			    |	1092      |
|8		     |		|1599488579315|		|1599488580344|			    |	1029      |
|9		     |		|1599488629769|		|1599488630965|			    |	1196      |
|10		     |		|1599488682383|		|1599488683602|			    |	1219      |
|11		     |		|1599488733806|		|1599488734991|			    |	1185      |
|12		     |		|1599488786028|		|1599488787187|			    |	1159      |
|13		     |		|1599488838099|		|1599488839953|			    |	1854      |
|14		     |		|1599488890714|		|1599488892202|			    |	1488      |
|15		     |		|1599488943370|		|1599488944281|			    |	911      |
|16		     |		|1599488995505|		|1599488996473|			    |	968      |
|17		     |		|1599489048046|		|1599489048974|			    |	928      |
|18		     |		|1599489100224|		|1599489101397|			    |	1173      |
|19		     |		|1599489152538|		|1599489153444|			    |	906      |
|20		     |		|1599489204918|		|1599489206146|			    |	1228      |
|21		     |		|1599489257516|		|1599489258764|			    |	1248      |
|22		     |		|1599489309968|		|1599489311166|			    |	1198      |
|23		     |		|1599489362205|		|1599489362978|			    |	773      |
|24		     |		|1599489414438|		|1599489415313|			    |	875      |
|25		     |		|1599489466577|		|1599489467397|			    |	820      |
----------------------------------------------------------------------------------------------------
SUMMARY                                                                     27.655
